_blk,community_short,n_cells,y,x,cx,cy,rung,block_m
17000020,inland,1640,62.330082,34.632404,9016219.69401008,4359722.146282218,1000 m,1000.0
17000021,inland,708,60.074482,28.220339,9016253.657806812,4360539.781484294,1000 m,1000.0
17000021,riverine,604,50.51276,16.617786,9016204.893751895,4360841.798216446,1000 m,1000.0
17000022,aeolian,644,53.73304,5.2883763,9015922.571085094,4361717.984131734,1000 m,1000.0
17000024,inland,838,53.142647,26.041595,9016073.150122218,4363857.407407424,1000 m,1000.0
17000025,inland,659,63.248714,35.764145,9016058.713458331,4364555.844534664,1000 m,1000.0
17000026,inland,918,60.123363,28.829754,9016427.942781122,4365718.057083977,1000 m,1000.0
17000027,inland,766,52.05229,29.324879,9016478.980578855,4366707.8884390015,1000 m,1000.0
17000032,aeolian,661,33.752865,2.2174196,9016489.134912528,4371714.750246152,1000 m,1000.0
18000005,inland,1575,60.873997,5.652608,9017223.633543901,4344735.102406939,1000 m,1000.0
18000006,inland,1532,45.366707,3.6367028,9017238.813446788,4345720.443380616,1000 m,1000.0
18000007,inland,1501,41.203156,3.532883,9017242.418627694,4346724.880569211,1000 m,1000.0
18000008,inland,701,44.2789,12.541267,9017303.229098799,4347512.753857422,1000 m,1000.0
18000010,inland,547,68.315994,38.918777,9017406.649080338,4349889.292978443,1000 m,1000.0
18000011,inland,1288,75.75469,50.73203,9017257.80188326,4350764.101410539,1000 m,1000.0
18000012,inland,1109,72.11852,41.228905,9017247.831848312,4351631.081453198,1000 m,1000.0
18000014,inland,1052,57.695408,7.523085,9017157.811787844,4353832.153769485,1000 m,1000.0
18000015,inland,1444,40.592453,2.6968737,9017173.26773491,4354717.181159074,1000 m,1000.0
18000016,inland,1559,53.223892,8.039952,9017206.051629823,4355721.6178417895,1000 m,1000.0
18000017,inland,804,59.977257,11.329069,9017201.485194223,4356465.700336386,1000 m,1000.0
18000018,inland,1419,61.000362,25.5371,9017231.3242088,4357767.549722515,1000 m,1000.0
18000019,inland,1389,68.06429,35.238094,9017189.175002087,4358717.600849798,1000 m,1000.0
18000020,inland,1640,61.50389,30.127176,9017218.504730124,4359722.146282218,1000 m,1000.0
18000021,inland,552,62.730743,22.116978,9017191.046482522,4360407.969168386,1000 m,1000.0
18000024,inland,658,65.60767,25.158487,9017260.324236717,4364018.132891736,1000 m,1000.0
18000025,inland,613,64.80953,27.923561,9017156.567874504,4364917.428469589,1000 m,1000.0
18000026,inland,1458,50.87509,25.145992,9017179.69634378,4365756.867485191,1000 m,1000.0
18000027,inland,1123,49.50931,24.256456,9017118.412422549,4366632.617922041,1000 m,1000.0
18000028,inland,1107,45.985394,21.207897,9017237.41852391,4367644.781485973,1000 m,1000.0
18000029,inland,594,42.25242,13.001443,9017526.050993923,4368704.128239658,1000 m,1000.0
18000030,inland,1107,65.97558,27.972643,9017284.065781565,4369774.8107608985,1000 m,1000.0
18000031,inland,529,58.016415,26.74048,9017296.318504794,4370417.398255666,1000 m,1000.0
18000031,riverine,1071,66.37829,8.387355,9017180.070101928,4370871.778955617,1000 m,1000.0
18000032,riverine,862,67.62679,13.274776,9017196.749891065,4371509.213556206,1000 m,1000.0
19000005,inland,1600,53.100353,2.9232144,9018217.315450167,4344727.50034757,1000 m,1000.0
19000006,inland,1600,45.4679,2.975,9018217.315450167,4345726.311067613,1000 m,1000.0
19000007,inland,1600,39.982307,6.7892857,9018217.315450167,4346725.121787656,1000 m,1000.0
19000010,inland,601,79.76097,50.097458,9018265.033175291,4349909.911202333,1000 m,1000.0
19000011,inland,1577,71.52703,42.128815,9018210.942252407,4350726.896205908,1000 m,1000.0
19000012,inland,1600,55.33806,25.226784,9018217.315450167,4351719.175387872,1000 m,1000.0
19000013,inland,543,51.274178,13.059721,9018195.357249485,4352389.118941047,1000 m,1000.0
19000018,inland,1438,72.57111,40.725212,9018245.828092767,4357712.3175414335,1000 m,1000.0
19000019,inland,1321,65.42557,38.367035,9018260.17698135,4358718.931268122,1000 m,1000.0
19000020,inland,1473,65.20397,29.163029,9018221.375449615,4359722.33275401,1000 m,1000.0
19000021,inland,801,69.72773,25.090065,9018383.705968838,4360623.32044873,1000 m,1000.0
19000024,riverine,712,48.07433,14.434189,9018351.495570073,4363837.96188906,1000 m,1000.0
19000025,riverine,514,60.58812,26.331295,9018238.593616284,4364459.647381825,1000 m,1000.0
19000027,riverine,807,36.053925,7.222517,9018229.6768158,4366917.884417277,1000 m,1000.0
19000028,riverine,1391,31.121193,3.0913012,9018272.829866985,4367684.9690785175,1000 m,1000.0
