draw_id,n_points,tau,p_value,n_zero_years,significant_p05
58,40,0.19292,0.158504,28,False
59,40,0.30005,0.030797,30,True
60,40,0.24884,0.068934,28,False
61,40,0.23322,0.089901,29,False
62,40,0.34788,0.012035,30,True
63,40,0.17231,0.213566,30,False
64,40,0.30886,0.025781,30,True
65,40,0.28765,0.03865,31,True
66,40,0.12331,0.368375,28,False
67,40,0.2445,0.078797,31,False
68,40,0.1333,0.335949,30,False
69,40,0.29353,0.034624,30,True
70,40,0.14069,0.312553,30,False
71,40,0.2525,0.067621,29,False
72,40,0.15631,0.257918,29,False
73,40,0.39679,0.004081,29,True
74,40,0.35879,0.009078,29,True
75,40,0.36299,0.008596,30,True
76,40,0.27639,0.046762,28,True
77,40,0.15521,0.266197,31,False
78,40,0.3547,0.010251,29,True
79,40,0.2093,0.128014,29,False
80,40,0.1807,0.186408,27,False
81,40,0.27606,0.048738,32,True
82,40,0.22724,0.098446,29,False
83,40,0.29817,0.03089,30,True
84,40,0.24906,0.074399,31,False
85,40,0.42052,0.002294,28,True
86,40,0.18287,0.184638,29,False
87,40,0.33058,0.016706,30,True
88,40,0.36937,0.006917,26,True
89,40,0.28285,0.041177,30,True
90,40,0.34683,0.011664,29,True
91,40,0.31088,0.023985,27,True
92,40,0.42435,0.002138,28,True
93,40,0.15449,0.260743,28,False
94,40,0.18637,0.177373,29,False
95,40,0.35003,0.011281,30,True
96,40,0.00843,0.951085,28,False
97,40,0.28765,0.03865,31,True
98,40,0.28936,0.036737,30,True
99,40,0.28046,0.04378,31,True
100,40,0.29586,0.032711,30,True
101,40,0.20047,0.141529,26,False
102,40,0.18649,0.180676,30,False
103,40,0.32497,0.018517,27,True
104,40,0.20441,0.139026,29,False
105,40,0.19136,0.164067,29,False
106,40,0.29586,0.032711,30,True
107,40,0.19839,0.151027,29,False
108,40,0.19465,0.152074,26,False
109,40,0.32291,0.018865,29,True
110,40,0.20086,0.14509,29,False
111,40,0.20112,0.140048,27,False
112,40,0.06828,0.622129,30,False
113,40,0.30466,0.027425,30,True
114,40,0.38074,0.005746,29,True
115,40,0.23322,0.089901,29,False
116,40,0.20332,0.139276,29,False
117,40,0.34355,0.012884,30,True
118,40,0.31726,0.023511,32,True
119,40,0.29732,0.034292,30,True
120,40,0.20332,0.139276,29,False
121,40,0.41854,0.002313,28,True
122,40,0.42124,0.002464,29,True
123,40,0.10442,0.448926,28,False
124,40,0.28371,0.0389,28,True
125,40,0.13452,0.326447,28,False
126,40,0.25934,0.057071,27,False
127,40,0.28374,0.037719,27,True
128,40,0.0897,0.514223,29,False
129,40,0.38673,0.005025,29,True
130,40,0.42616,0.002,28,True
131,40,0.16853,0.222459,30,False
132,40,0.30428,0.028951,30,True
133,40,0.36673,0.007948,29,True
134,40,0.36275,0.008502,29,True
135,40,0.20613,0.138982,30,False
136,40,0.16686,0.231009,30,False
137,40,0.42978,0.001757,28,True
138,40,0.29817,0.03089,30,True
139,40,0.25782,0.059997,28,False
140,40,0.28936,0.036737,30,True
141,40,0.36288,0.007788,26,True
